"","YHOO","GOOG","MSFT"
"197","43.3","771.01","57.62"
"198","43.295","771.18","57.65"
"199","43.25","770.38","57.6"
"200","43.31","770.67","57.63"
"201","43.29","769.56","57.61"
"202","43.29","769.8","57.605"
"203","43.28","769.64","57.585"
"204","43.26","769.0225","57.5501"
"205","43.26","769.08","57.54"
"206","43.28","769.41","57.59"
"207","43.23","769.71","57.54"
"208","43.2","768.98","57.5"
"209","43.23","768.75","57.48"
"210","43.19","768.49","57.44"
"211","43.22","769.22","57.465"
"212","43.205","769.68","57.51"
"213","43.17","769.1","57.48"
"214","43.2","769.35","57.505"
"215","43.24","770.17","57.56"
"216","43.205","770.58","57.6"
"217","43.24","770.76","57.66"
"218","43.235","770.23","57.675"
"219","43.25","770.52","57.66"
"220","43.25","770.5692","57.665"
"221","43.28","770.66","57.65"
"222","43.26","770.61","57.68"
"223","43.28","770.59","57.649"
"224","43.28","770.91","57.66"
"225","43.265","770.815","57.66"
"226","43.2832","770.43","57.645"
"227","43.29","770.41","57.65"
"228","43.3","770.77","57.6993"
"229","43.275","771.0001","57.71"
"230","43.28","770.99","57.715"
"231","43.265","771.39","57.72"
"232","43.28","771.32","57.74"
"233","43.28","770.84","57.75"
"234","43.285","771.12","57.7"
"235","43.27","770.8125","57.66"
"236","43.26","771.31","57.66"
"237","43.28","771.46","57.67"
"238","43.52","773.45","57.61"
"239","44.12","771.33","57.4"
"240","44.255","773.5","57.54"
"241","44.2","776.29","57.49"
"242","44.28","776.26","57.54"
"243","44.5248","775.51","57.5"
"244","44.55","775.68","57.45"
"245","44.621","777.63","57.51"
"246","44.48","776.5","57.45"
"247","44.25","776.86","57.455"
"248","44.2901","776.86","57.37"
"249","44.3885","776.49","57.295"
"250","44.361","776.74","57.315"
"251","44.3901","777.09","57.33"
"252","44.41","777.29","57.34"
"253","44.4399","777.95","57.405"
"254","44.44","777.42","57.3615"
"255","44.47","777.77","57.415"
"256","44.525","777.36","57.445"
"257","44.575","777.25","57.46"
"258","44.6","777.43","57.42"
"259","44.65","777.51","57.42"
