40.53,126.06,532.33,45.363,81.53,215.72
40.94,127.46,534.61,45.827,81.83,217.95
42.06,127.75,536.69,45.995,82.16,216.7
41.63,126.31,526.69,45.047,80.67,216.83
42.01,126.68,526.83,45.126,80.67,212.04
42.81,127.52,533.33,45.531,82.14,213.8
42.88,128.23,536.7,45.748,82.05,212.83
43.21,128.98,540.31,46.231,82.44,213.25
43.15,128.82,539.18,46.301,80.44,204.81
43.35,129.4,533.99,46.606,80.29,200.77
42.94,129.14,532.11,46.241,79.19,194.93
43.07,130.63,539.78,46.824,80.15,196.23
43.38,130.88,539.79,46.981,80.55,197.99
42.85,128.49,532.32,45.975,79.33,195.79
43.49,131.38,540.11,46.281,80.54,196.23
43.68,130.24,542.51,46.794,80.48,197.04
42.79,128.92,539.27,46.952,80.55,193.8
40.98,128.93,537.36,46.952,80.63,194.22
44.36,129.05,532.3,47.07,80.88,198.38
44.75,127.64,533.85,47.355,80.42,195.66
44.95,127.82,538.4,47.766,81.37,194.49
44.4,124.91,529.62,46.698,78.44,196.87
43.84,124.77,529.04,46.423,77.46,200.24
43.6,125.21,535.7,46.443,78.01,200.26
44.09,126.5,538.22,46.815,78.51,198.72
43.87,124.16,530.7,45.786,78.43,201.41
41.66,123.4,524.22,45.374,78.1,200.22
41.3,124.18,530.8,46.668,77.56,199.83
42.04,127.04,540.78,47.296,78.81,203.42
42.51,127.29,537.9,47.708,78.99,205.21
42.57,123.54,537.34,47.688,78.77,252.13
43.28,126.98,549.08,48.1,80.47,257.15
44.34,128.88,553.68,48.198,80.68,257.34
44.36,130.94,555.37,47.09,81.91,260.29
44.52,128.6,565.06,46.933,81.53,260.95
43.7,128,547,42.492,82.41,256.24
43.98,126.96,539.37,42.149,84.63,259.35
44.49,125.28,533.97,41.805,83.62,258.42
44.66,125.96,535.38,42.07,83.09,258.52
44.45,123.14,524.05,40.805,80.78,253.75
45.78,124.55,533.8,41.335,82.31,257.07
45.73,125.15,532.53,41.433,82.71,257.19
45.53,124.67,530.39,40.835,83.52,257.5
44.77,125.22,539.17,40.943,83.01,263.16
45.18,125.46,540.01,40.903,82.04,265.35
45.63,124.93,540.78,40.668,82.17,256.14
45.17,123.98,541.61,40.609,82.28,252.26
43.61,124.39,537.02,40.717,82.32,249.81
43.67,125.71,536.77,40.737,82.44,249.31
44.15,123.71,535.53,39.501,81.56,248.82
44.13,122.65,542.56,39.923,81.67,248.32
44.44,122.83,548,39.864,82.22,249.86
44.95,124.74,552.03,40.158,83.2,255.19
45.1,121.66,548.34,40.168,83.3,256.71
44.47,122.64,555.17,40.403,83.01,255.79
44.2,121.79,558.79,40.648,82.92,256.05
44.42,125.06,570.19,42.06,85.31,264.16
44.72,125.57,558.81,42.021,84.43,261.84
45.04,124.28,560.36,42.041,83.8,264.25
44.98,125.86,557.99,41.462,82.75,260.58
44.67,126.82,559.5,41.668,80.91,260.15
43.79,125.4,550.84,40.884,79.36,258.71
43.51,123.34,554.51,40.746,78.07,260.17
42.87,122,547.32,40.57,78.05,259.12
42.95,122.85,555.51,40.217,78.93,266.42
42.5,120.67,551.18,41.158,77.57,264.95
42.68,122.91,555.01,41.207,77.55,265
42.98,125.5,568.85,42.011,79.44,267.21
43.44,124.97,567.69,41.531,80.01,264.63
44.16,124.78,575.33,42.266,81.21,268.34
43.99,126.89,573.37,42.217,80.9,265.23
42.62,127.69,573.64,42.433,79.6,265.54
44.11,127.43,571.34,43.021,79.75,269.42
44.28,126.81,558.4,42.992,78.97,267.2
44.45,128.74,555.48,43.198,80.41,270.76
44.43,127.13,543.87,43.129,79.56,269
43.38,130.47,536.09,43.227,78.45,264.26
43.53,131.29,531.91,43.286,78.84,264.21
44.11,127.83,538.95,43.001,79.9,267.63
44.37,126.8,542.87,42.649,79.42,266.34
43.65,127.06,539.7,42.678,76.71,266.91
43.53,126.18,542.84,42.727,75.6,265.75
44.42,125.44,549.01,42.707,75.74,269
43.93,124.83,542.93,41.948,76.23,267.17
42.96,123.27,535.97,41.257,76.51,267.92
43.07,120.45,536.94,41.471,75.19,269.75
42.57,118.18,527.83,41.237,74.44,267.43
42.94,117.4,531,41.286,74.47,263.4
43.55,118.4,527.58,41.325,75.61,237.97
44.05,117.56,522.76,40.731,75.63,232.03
44.7,116.66,529.24,40.498,75.4,232.76
44.69,116.64,528.48,40.186,74.99,224.57
43.99,115.2,534.52,39.329,75.91,224.74
